"IsChecked";"Фраза";"Источник";"Дата добавления";"Частотность [WS]";"Частотность * * [WS]";"Частотность *!* [WS]";"Сезонность [WS]";"Корректность словоформы [SG]";"Частотность (первая) [RA]";"Частотность (все) [RA]";"Конкуренция в ПС Яндекс [KEI]";"Конкуренция в ПС Google [KEI]";"Кол-во главных страниц в ПС Яндекс [KEI]";"Кол-во главных страниц в ПС Google [KEI]";"Кол-во вхождений в заголовок в ПС Яндекс [KEI]";"Кол-во вхождений в заголовок в ПС Google [KEI]";"Рел. страница в ПС Яндекс";"Рел. страница в ПС Google";"Позиция в ПС Яндекс";"Страница в ПС Яндекс";"Позиция в ПС Google";"Страница в ПС Google";
"False";"сколько стоит костюм +для танца живота";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоит танец живота";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоит занятие танцами";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоит восточные танцы";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоит билет +на концерт танцы";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоит бальные танцы";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоит чешки +для танцев";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоит приватный танец";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоит костюм +для восточных танцев";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоит коврик +для танцев";"YandexWordstatLeftColumn";"12.01.2017 21:55:28";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят билеты +на танцы";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"танец стоят девчонки";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят билеты +на танцы +на тнт";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"стоят девчонки стоят +в сторонке танец";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят джазовки +для танцев черные";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят занятия танцами";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят джазовки +для танцев";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят восточные танцы";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят бальные танцы";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят чешки +для танцев";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят туфли +для бальных танцев";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят туфли +для танцев";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят костюмы +для восточных танцев";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"False";"сколько стоят занятия бальными танцами";"YandexWordstatLeftColumn";"12.01.2017 21:55:36";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
